from_label,to_label,sum_sigval
CD11b+ M1 macrophages,Proliferating B cells,0
CD11b+ M1 macrophages,Proliferating CD4+ T-cells,0
CD11b+ M1 macrophages,Proliferating CD8+ T-cells,0
CD11b+ M1 macrophages,Proliferating M1 macrophages,0
CD11b+ M1 macrophages,Proliferating M2 macrophages,0
CD11b+ M1 macrophages,Resident memory CD4+ T-cells,0
CD11b+ M2 macrophages,CD11b+ M2 macrophages,0
CD11b+ M2 macrophages,CD16+ CD4+ T-cells,0
CD11b+ M2 macrophages,CD16+ M1 macrophages,0
CD11b+ M2 macrophages,CD16+ M2 macrophages,0
CD11b+ M2 macrophages,CD3+ CD4+ T-cells,0
CD11b+ M2 macrophages,CD3+ CD8+ T-cells,0
CD11b+ M2 macrophages,Cholangiocytes,0
CD11b+ M2 macrophages,Classical monocytes,0
CD11b+ M2 macrophages,Cytotoxic T-cells,0
CD11b+ M2 macrophages,Endothelial cells,0
CD11b+ M2 macrophages,HLADR+ CD4+ Tregs,0
CD11b+ M2 macrophages,HLADR+ M2 macrophages,0
CD11b+ M2 macrophages,HLADR- CD4+ Tregs,0
CD11b+ M2 macrophages,HLADR-high Cholangiocytes,0
CD11b+ M2 macrophages,HLADR-high Endothelial cells,0
CD11b+ M2 macrophages,HLADR-high Hepatocytes,0
CD11b+ M2 macrophages,Hepatocytes,0
CD11b+ M2 macrophages,Intermediate monocytes,0
CD11b+ M2 macrophages,Ki67-high Cholangiocytes,0
CD11b+ M2 macrophages,Ki67-high Endothelial cells,0
CD11b+ M2 macrophages,Ki67-high Hepatocytes,0
CD11b+ M2 macrophages,M1 macrophages,0.041666667
CD11b+ M2 macrophages,M2 macrophages,0
CD11b+ M2 macrophages,Naive CD4+ T-cells,0
CD11b+ M2 macrophages,Neutrophils,0
CD11b+ M2 macrophages,Non-classical monocytes,0
CD11b+ M2 macrophages,PD1+ B cells,0
CD11b+ M2 macrophages,PD1+ CD4+ T-cells,0
CD11b+ M2 macrophages,PD1+ CD8+ T-cells,0
CD11b+ M2 macrophages,PD1+CD28+ CD8+ T-cells,0
CD11b+ M2 macrophages,Plasma cells,0
CD11b+ M2 macrophages,Proliferating B cells,0
CD11b+ M2 macrophages,Proliferating CD4+ T-cells,0
CD11b+ M2 macrophages,Proliferating CD8+ T-cells,0
CD11b+ M2 macrophages,Proliferating M1 macrophages,0
CD11b+ M2 macrophages,Proliferating M2 macrophages,0
CD11b+ M2 macrophages,Resident memory CD4+ T-cells,0
CD16+ CD4+ T-cells,CD16+ CD4+ T-cells,0.083333333
CD16+ CD4+ T-cells,CD16+ M1 macrophages,0
CD16+ CD4+ T-cells,CD16+ M2 macrophages,0.083333333
CD16+ CD4+ T-cells,CD3+ CD4+ T-cells,0.041666667
CD16+ CD4+ T-cells,CD3+ CD8+ T-cells,-0.041666667
CD16+ CD4+ T-cells,Cholangiocytes,0
CD16+ CD4+ T-cells,Classical monocytes,0
CD16+ CD4+ T-cells,Cytotoxic T-cells,0
CD16+ CD4+ T-cells,Endothelial cells,-0.166666667
CD16+ CD4+ T-cells,HLADR+ CD4+ Tregs,0
CD16+ CD4+ T-cells,HLADR+ M2 macrophages,0
CD16+ CD4+ T-cells,HLADR- CD4+ Tregs,0
CD16+ CD4+ T-cells,HLADR-high Cholangiocytes,0
CD16+ CD4+ T-cells,HLADR-high Endothelial cells,0
CD16+ CD4+ T-cells,HLADR-high Hepatocytes,0.041666667
CD16+ CD4+ T-cells,Hepatocytes,0.083333333
CD16+ CD4+ T-cells,Intermediate monocytes,0
CD16+ CD4+ T-cells,Ki67-high Cholangiocytes,0
CD16+ CD4+ T-cells,Ki67-high Endothelial cells,0
CD16+ CD4+ T-cells,Ki67-high Hepatocytes,0
CD16+ CD4+ T-cells,M1 macrophages,0
CD16+ CD4+ T-cells,M2 macrophages,0
CD16+ CD4+ T-cells,Naive CD4+ T-cells,0
CD16+ CD4+ T-cells,Neutrophils,0
CD16+ CD4+ T-cells,Non-classical monocytes,0
CD16+ CD4+ T-cells,PD1+ B cells,0
CD16+ CD4+ T-cells,PD1+ CD4+ T-cells,0
CD16+ CD4+ T-cells,PD1+ CD8+ T-cells,0
CD16+ CD4+ T-cells,PD1+CD28+ CD8+ T-cells,0
CD16+ CD4+ T-cells,Plasma cells,0
CD16+ CD4+ T-cells,Proliferating B cells,0
CD16+ CD4+ T-cells,Proliferating CD4+ T-cells,0
CD16+ CD4+ T-cells,Proliferating CD8+ T-cells,0
CD16+ CD4+ T-cells,Proliferating M1 macrophages,0
CD16+ CD4+ T-cells,Proliferating M2 macrophages,0
CD16+ CD4+ T-cells,Resident memory CD4+ T-cells,0.083333333
CD16+ M1 macrophages,CD16+ M1 macrophages,0.166666667
CD16+ M1 macrophages,CD16+ M2 macrophages,0.416666667
CD16+ M1 macrophages,CD3+ CD4+ T-cells,0.041666667
CD16+ M1 macrophages,CD3+ CD8+ T-cells,0.041666667
CD16+ M1 macrophages,Cholangiocytes,-0.083333333
CD16+ M1 macrophages,Classical monocytes,0
CD16+ M1 macrophages,Cytotoxic T-cells,0
CD16+ M1 macrophages,Endothelial cells,-0.125
CD16+ M1 macrophages,HLADR+ CD4+ Tregs,0
CD16+ M1 macrophages,HLADR+ M2 macrophages,0
CD16+ M1 macrophages,HLADR- CD4+ Tregs,0
CD16+ M1 macrophages,HLADR-high Cholangiocytes,0
CD16+ M1 macrophages,HLADR-high Endothelial cells,0
CD16+ M1 macrophages,HLADR-high Hepatocytes,0
CD16+ M1 macrophages,Hepatocytes,-0.166666667
CD16+ M1 macrophages,Intermediate monocytes,0
CD16+ M1 macrophages,Ki67-high Cholangiocytes,0
CD16+ M1 macrophages,Ki67-high Endothelial cells,0
CD16+ M1 macrophages,Ki67-high Hepatocytes,0.041666667
CD16+ M1 macrophages,M1 macrophages,0.291666667
CD16+ M1 macrophages,M2 macrophages,0
CD16+ M1 macrophages,Naive CD4+ T-cells,0
CD16+ M1 macrophages,Neutrophils,-0.041666667
CD16+ M1 macrophages,Non-classical monocytes,0
CD16+ M1 macrophages,PD1+ B cells,0
CD16+ M1 macrophages,PD1+ CD4+ T-cells,0
CD16+ M1 macrophages,PD1+ CD8+ T-cells,0
CD16+ M1 macrophages,PD1+CD28+ CD8+ T-cells,0
CD16+ M1 macrophages,Plasma cells,0
CD16+ M1 macrophages,Proliferating B cells,0
CD16+ M1 macrophages,Proliferating CD4+ T-cells,0
CD16+ M1 macrophages,Proliferating CD8+ T-cells,0.041666667
CD16+ M1 macrophages,Proliferating M1 macrophages,0.041666667
CD16+ M1 macrophages,Proliferating M2 macrophages,0.041666667
CD16+ M1 macrophages,Resident memory CD4+ T-cells,-0.125
CD16+ M2 macrophages,CD16+ M2 macrophages,0.833333333
CD16+ M2 macrophages,CD3+ CD4+ T-cells,-0.125
CD16+ M2 macrophages,CD3+ CD8+ T-cells,-0.041666667
CD16+ M2 macrophages,Cholangiocytes,-0.708333333
CD16+ M2 macrophages,Classical monocytes,0.041666667
CD16+ M2 macrophages,Cytotoxic T-cells,0
CD16+ M2 macrophages,Endothelial cells,-0.666666667
CD16+ M2 macrophages,HLADR+ CD4+ Tregs,0
CD16+ M2 macrophages,HLADR+ M2 macrophages,0.041666667
CD16+ M2 macrophages,HLADR- CD4+ Tregs,0
CD16+ M2 macrophages,HLADR-high Cholangiocytes,0
CD16+ M2 macrophages,HLADR-high Endothelial cells,-0.208333333
CD16+ M2 macrophages,HLADR-high Hepatocytes,0.208333333
CD16+ M2 macrophages,Hepatocytes,-0.375
CD16+ M2 macrophages,Intermediate monocytes,0.125
CD16+ M2 macrophages,Ki67-high Cholangiocytes,0
CD16+ M2 macrophages,Ki67-high Endothelial cells,0
CD16+ M2 macrophages,Ki67-high Hepatocytes,0
CD16+ M2 macrophages,M1 macrophages,0.5
CD16+ M2 macrophages,M2 macrophages,0.541666667
CD16+ M2 macrophages,Naive CD4+ T-cells,0.041666667
CD16+ M2 macrophages,Neutrophils,-0.125
CD16+ M2 macrophages,Non-classical monocytes,0
CD16+ M2 macrophages,PD1+ B cells,0
CD16+ M2 macrophages,PD1+ CD4+ T-cells,0
CD16+ M2 macrophages,PD1+ CD8+ T-cells,0
CD16+ M2 macrophages,PD1+CD28+ CD8+ T-cells,0
CD16+ M2 macrophages,Plasma cells,-0.083333333
CD16+ M2 macrophages,Proliferating B cells,0
CD16+ M2 macrophages,Proliferating CD4+ T-cells,0
CD16+ M2 macrophages,Proliferating CD8+ T-cells,0.041666667
CD16+ M2 macrophages,Proliferating M1 macrophages,0
CD16+ M2 macrophages,Proliferating M2 macrophages,0.041666667
CD16+ M2 macrophages,Resident memory CD4+ T-cells,0
CD3+ CD4+ T-cells,CD3+ CD4+ T-cells,0.666666667
CD3+ CD4+ T-cells,CD3+ CD8+ T-cells,0.625
CD3+ CD4+ T-cells,Cholangiocytes,0.625
CD3+ CD4+ T-cells,Classical monocytes,0.125
CD3+ CD4+ T-cells,Cytotoxic T-cells,0
CD3+ CD4+ T-cells,Endothelial cells,0.541666667
CD3+ CD4+ T-cells,HLADR+ CD4+ Tregs,0
CD3+ CD4+ T-cells,HLADR+ M2 macrophages,0.041666667
CD3+ CD4+ T-cells,HLADR- CD4+ Tregs,0
CD3+ CD4+ T-cells,HLADR-high Cholangiocytes,0.166666667
CD3+ CD4+ T-cells,HLADR-high Endothelial cells,0.25
CD3+ CD4+ T-cells,HLADR-high Hepatocytes,0.333333333
CD3+ CD4+ T-cells,Hepatocytes,-0.875
CD3+ CD4+ T-cells,Intermediate monocytes,0
CD3+ CD4+ T-cells,Ki67-high Cholangiocytes,0.041666667
CD3+ CD4+ T-cells,Ki67-high Endothelial cells,0.041666667
CD3+ CD4+ T-cells,Ki67-high Hepatocytes,0.083333333
CD3+ CD4+ T-cells,M1 macrophages,0.125
CD3+ CD4+ T-cells,M2 macrophages,0
CD3+ CD4+ T-cells,Naive CD4+ T-cells,0.25
CD3+ CD4+ T-cells,Neutrophils,0.166666667
CD3+ CD4+ T-cells,Non-classical monocytes,0
CD3+ CD4+ T-cells,PD1+ B cells,0.041666667
CD3+ CD4+ T-cells,PD1+ CD4+ T-cells,0.125
CD3+ CD4+ T-cells,PD1+ CD8+ T-cells,0
CD3+ CD4+ T-cells,PD1+CD28+ CD8+ T-cells,0.166666667
CD3+ CD4+ T-cells,Plasma cells,0
CD3+ CD4+ T-cells,Proliferating B cells,0.041666667
CD3+ CD4+ T-cells,Proliferating CD4+ T-cells,0
CD3+ CD4+ T-cells,Proliferating CD8+ T-cells,0.083333333
CD3+ CD4+ T-cells,Proliferating M1 macrophages,0
CD3+ CD4+ T-cells,Proliferating M2 macrophages,0
CD3+ CD4+ T-cells,Resident memory CD4+ T-cells,-0.041666667
CD3+ CD8+ T-cells,CD3+ CD8+ T-cells,0.958333333
CD3+ CD8+ T-cells,Cholangiocytes,0.666666667
CD3+ CD8+ T-cells,Classical monocytes,0.166666667
CD3+ CD8+ T-cells,Cytotoxic T-cells,0.041666667
CD3+ CD8+ T-cells,Endothelial cells,0.625
CD3+ CD8+ T-cells,HLADR+ CD4+ Tregs,0.166666667
CD3+ CD8+ T-cells,HLADR+ M2 macrophages,0.208333333
CD3+ CD8+ T-cells,HLADR- CD4+ Tregs,0
CD3+ CD8+ T-cells,HLADR-high Cholangiocytes,0.291666667
CD3+ CD8+ T-cells,HLADR-high Endothelial cells,0.375
CD3+ CD8+ T-cells,HLADR-high Hepatocytes,0.625
CD3+ CD8+ T-cells,Hepatocytes,-0.958333333
CD3+ CD8+ T-cells,Intermediate monocytes,-0.041666667
CD3+ CD8+ T-cells,Ki67-high Cholangiocytes,0.083333333
CD3+ CD8+ T-cells,Ki67-high Endothelial cells,0.041666667
CD3+ CD8+ T-cells,Ki67-high Hepatocytes,0.041666667
CD3+ CD8+ T-cells,M1 macrophages,0.291666667
CD3+ CD8+ T-cells,M2 macrophages,-0.125
CD3+ CD8+ T-cells,Naive CD4+ T-cells,0.208333333
CD3+ CD8+ T-cells,Neutrophils,-0.083333333
CD3+ CD8+ T-cells,Non-classical monocytes,0
CD3+ CD8+ T-cells,PD1+ B cells,0.083333333
CD3+ CD8+ T-cells,PD1+ CD4+ T-cells,0.041666667
CD3+ CD8+ T-cells,PD1+ CD8+ T-cells,0.166666667
CD3+ CD8+ T-cells,PD1+CD28+ CD8+ T-cells,0.416666667
CD3+ CD8+ T-cells,Plasma cells,0.166666667
CD3+ CD8+ T-cells,Proliferating B cells,0
CD3+ CD8+ T-cells,Proliferating CD4+ T-cells,0
CD3+ CD8+ T-cells,Proliferating CD8+ T-cells,0.208333333
CD3+ CD8+ T-cells,Proliferating M1 macrophages,0.083333333
CD3+ CD8+ T-cells,Proliferating M2 macrophages,0
CD3+ CD8+ T-cells,Resident memory CD4+ T-cells,-0.208333333
Cholangiocytes,Cholangiocytes,0.958333333
Cholangiocytes,Classical monocytes,0.375
Cholangiocytes,Cytotoxic T-cells,0.041666667
Cholangiocytes,Endothelial cells,0.75
Cholangiocytes,HLADR+ CD4+ Tregs,0.041666667
Cholangiocytes,HLADR+ M2 macrophages,0.291666667
Cholangiocytes,HLADR- CD4+ Tregs,0
Cholangiocytes,HLADR-high Cholangiocytes,0.75
Cholangiocytes,HLADR-high Endothelial cells,0.666666667
Cholangiocytes,HLADR-high Hepatocytes,0.541666667
Cholangiocytes,Hepatocytes,-0.958333333
Cholangiocytes,Intermediate monocytes,0
Cholangiocytes,Ki67-high Cholangiocytes,0.291666667
Cholangiocytes,Ki67-high Endothelial cells,0.041666667
Cholangiocytes,Ki67-high Hepatocytes,0.041666667
Cholangiocytes,M1 macrophages,-0.083333333
Cholangiocytes,M2 macrophages,-0.416666667
Cholangiocytes,Naive CD4+ T-cells,0.083333333
Cholangiocytes,Neutrophils,-0.083333333
Cholangiocytes,Non-classical monocytes,0
Cholangiocytes,PD1+ B cells,0.041666667
Cholangiocytes,PD1+ CD4+ T-cells,0
Cholangiocytes,PD1+ CD8+ T-cells,0.083333333
Cholangiocytes,PD1+CD28+ CD8+ T-cells,0.25
Cholangiocytes,Plasma cells,0.208333333
Cholangiocytes,Proliferating B cells,0.041666667
Cholangiocytes,Proliferating CD4+ T-cells,0
Cholangiocytes,Proliferating CD8+ T-cells,0.041666667
Cholangiocytes,Proliferating M1 macrophages,0.041666667
Cholangiocytes,Proliferating M2 macrophages,0
Cholangiocytes,Resident memory CD4+ T-cells,-0.75
Classical monocytes,Classical monocytes,0.625
Classical monocytes,Cytotoxic T-cells,0
Classical monocytes,Endothelial cells,0.208333333
Classical monocytes,HLADR+ CD4+ Tregs,0
Classical monocytes,HLADR+ M2 macrophages,0.083333333
Classical monocytes,HLADR- CD4+ Tregs,0
Classical monocytes,HLADR-high Cholangiocytes,0.083333333
Classical monocytes,HLADR-high Endothelial cells,0.083333333
Classical monocytes,HLADR-high Hepatocytes,0.166666667
Classical monocytes,Hepatocytes,-0.375
Classical monocytes,Intermediate monocytes,0.041666667
Classical monocytes,Ki67-high Cholangiocytes,0.041666667
Classical monocytes,Ki67-high Endothelial cells,0
Classical monocytes,Ki67-high Hepatocytes,0
Classical monocytes,M1 macrophages,0
Classical monocytes,M2 macrophages,-0.041666667
Classical monocytes,Naive CD4+ T-cells,0
Classical monocytes,Neutrophils,0.041666667
Classical monocytes,Non-classical monocytes,0.041666667
Classical monocytes,PD1+ B cells,0
Classical monocytes,PD1+ CD4+ T-cells,0
Classical monocytes,PD1+ CD8+ T-cells,0
Classical monocytes,PD1+CD28+ CD8+ T-cells,0.041666667
Classical monocytes,Plasma cells,0.041666667
Classical monocytes,Proliferating B cells,0
Classical monocytes,Proliferating CD4+ T-cells,0
Classical monocytes,Proliferating CD8+ T-cells,0
Classical monocytes,Proliferating M1 macrophages,0.041666667
Classical monocytes,Proliferating M2 macrophages,0
Classical monocytes,Resident memory CD4+ T-cells,-0.083333333
Cytotoxic T-cells,Cytotoxic T-cells,0
Cytotoxic T-cells,Endothelial cells,0.041666667
Cytotoxic T-cells,HLADR+ CD4+ Tregs,0
Cytotoxic T-cells,HLADR+ M2 macrophages,0
Cytotoxic T-cells,HLADR- CD4+ Tregs,0
Cytotoxic T-cells,HLADR-high Cholangiocytes,0
Cytotoxic T-cells,HLADR-high Endothelial cells,0
Cytotoxic T-cells,HLADR-high Hepatocytes,0
Cytotoxic T-cells,Hepatocytes,-0.166666667
Cytotoxic T-cells,Intermediate monocytes,0
Cytotoxic T-cells,Ki67-high Cholangiocytes,0
Cytotoxic T-cells,Ki67-high Endothelial cells,0
Cytotoxic T-cells,Ki67-high Hepatocytes,0
Cytotoxic T-cells,M1 macrophages,0
Cytotoxic T-cells,M2 macrophages,0
Cytotoxic T-cells,Naive CD4+ T-cells,0.041666667
Cytotoxic T-cells,Neutrophils,0
Cytotoxic T-cells,Non-classical monocytes,0
Cytotoxic T-cells,PD1+ B cells,0
Cytotoxic T-cells,PD1+ CD4+ T-cells,0
Cytotoxic T-cells,PD1+ CD8+ T-cells,0
Cytotoxic T-cells,PD1+CD28+ CD8+ T-cells,0.041666667
Cytotoxic T-cells,Plasma cells,0
Cytotoxic T-cells,Proliferating B cells,0
Cytotoxic T-cells,Proliferating CD4+ T-cells,0
Cytotoxic T-cells,Proliferating CD8+ T-cells,0
Cytotoxic T-cells,Proliferating M1 macrophages,0
Cytotoxic T-cells,Proliferating M2 macrophages,0
Cytotoxic T-cells,Resident memory CD4+ T-cells,0
Endothelial cells,Endothelial cells,1
Endothelial cells,HLADR+ CD4+ Tregs,0
Endothelial cells,HLADR+ M2 macrophages,0.333333333
Endothelial cells,HLADR- CD4+ Tregs,0
Endothelial cells,HLADR-high Cholangiocytes,0.333333333
Endothelial cells,HLADR-high Endothelial cells,1
Endothelial cells,HLADR-high Hepatocytes,0.916666667
Endothelial cells,Hepatocytes,-1
Endothelial cells,Intermediate monocytes,-0.041666667
Endothelial cells,Ki67-high Cholangiocytes,0.125
Endothelial cells,Ki67-high Endothelial cells,0.166666667
Endothelial cells,Ki67-high Hepatocytes,0
Endothelial cells,M1 macrophages,0.166666667
Endothelial cells,M2 macrophages,-0.458333333
Endothelial cells,Naive CD4+ T-cells,0.166666667
Endothelial cells,Neutrophils,0.083333333
Endothelial cells,Non-classical monocytes,0
Endothelial cells,PD1+ B cells,0.041666667
Endothelial cells,PD1+ CD4+ T-cells,0
Endothelial cells,PD1+ CD8+ T-cells,0.125
Endothelial cells,PD1+CD28+ CD8+ T-cells,0.25
Endothelial cells,Plasma cells,0.25
Endothelial cells,Proliferating B cells,0.041666667
Endothelial cells,Proliferating CD4+ T-cells,0
Endothelial cells,Proliferating CD8+ T-cells,0.083333333
Endothelial cells,Proliferating M1 macrophages,0
Endothelial cells,Proliferating M2 macrophages,0.041666667
Endothelial cells,Resident memory CD4+ T-cells,-0.833333333
HLADR+ CD4+ Tregs,HLADR+ CD4+ Tregs,0
HLADR+ CD4+ Tregs,HLADR+ M2 macrophages,0
HLADR+ CD4+ Tregs,HLADR- CD4+ Tregs,0
HLADR+ CD4+ Tregs,HLADR-high Cholangiocytes,0.041666667
HLADR+ CD4+ Tregs,HLADR-high Endothelial cells,0.041666667
HLADR+ CD4+ Tregs,HLADR-high Hepatocytes,0.041666667
HLADR+ CD4+ Tregs,Hepatocytes,-0.166666667
HLADR+ CD4+ Tregs,Intermediate monocytes,0
HLADR+ CD4+ Tregs,Ki67-high Cholangiocytes,0
HLADR+ CD4+ Tregs,Ki67-high Endothelial cells,0
HLADR+ CD4+ Tregs,Ki67-high Hepatocytes,0
HLADR+ CD4+ Tregs,M1 macrophages,0.041666667
HLADR+ CD4+ Tregs,M2 macrophages,0
HLADR+ CD4+ Tregs,Naive CD4+ T-cells,0
HLADR+ CD4+ Tregs,Neutrophils,0
HLADR+ CD4+ Tregs,Non-classical monocytes,0
HLADR+ CD4+ Tregs,PD1+ B cells,0
HLADR+ CD4+ Tregs,PD1+ CD4+ T-cells,0
HLADR+ CD4+ Tregs,PD1+ CD8+ T-cells,0
HLADR+ CD4+ Tregs,PD1+CD28+ CD8+ T-cells,0.083333333
HLADR+ CD4+ Tregs,Plasma cells,0
